individual_id,group_id,group_name,year,age,sex,dominance_rank,forage_pct,rest_pct,social_pct,travel_pct,body_condition_score,survived_next_year,group_size,n_silverbacks,n_blackbacks,n_adult_females,n_juveniles,n_infants,multi_male_group,habitat_quality_score,annual_rainfall_mm,lagged_rainfall_mm,n_obs_sessions,mean_foraging_pct,mean_agonistic,mean_affiliation,mean_nn_dist_m,n_wet_sessions,n_dry_sessions
278,7,Agashya,2010,20,F,2,49.9,29.5,13.7,6.9,3.29,1,8,2,0,3,2,1,1,4.46,1133.2,,3.0,47.77,0.0,3.0,8.07,1.0,2.0
278,7,Agashya,2011,21,F,1,40.6,35.0,7.5,16.9,2.89,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,6.0,46.4,0.5,1.67,6.47,5.0,1.0
278,7,Agashya,2012,22,F,1,47.2,37.6,15.1,0.1,2.95,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,6.0,43.48,0.83,1.5,17.15,3.0,3.0
278,7,Agashya,2013,23,F,2,47.3,25.7,12.7,14.3,3.71,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,,,,,,,
278,7,Agashya,2014,24,F,1,29.3,26.0,14.8,29.9,3.53,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,,,,,,,
278,7,Agashya,2015,25,F,1,46.1,30.3,18.1,5.5,2.85,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,6.0,45.22,1.0,2.17,5.32,5.0,1.0
278,7,Agashya,2016,26,F,1,48.5,35.4,11.5,4.6,4.1,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,5.0,45.38,0.6,2.0,12.32,2.0,3.0
278,7,Agashya,2017,27,F,1,58.5,28.7,17.1,0.0,4.3,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,4.0,59.35,0.75,3.75,14.63,2.0,2.0
278,7,Agashya,2018,28,F,1,54.3,29.9,6.1,9.7,2.95,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,3.0,54.03,0.67,3.0,9.47,2.0,1.0
278,7,Agashya,2019,29,F,1,38.5,26.1,19.0,16.4,3.52,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,6.0,40.62,0.67,3.0,12.58,4.0,2.0
278,7,Agashya,2020,30,F,1,51.0,34.3,10.2,4.5,3.9,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,5.0,54.62,0.2,1.4,9.56,3.0,2.0
278,7,Agashya,2021,31,F,1,51.4,19.9,19.8,8.9,2.8,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,5.0,50.36,0.4,3.0,15.98,2.0,3.0
278,7,Agashya,2022,32,F,1,43.5,14.5,15.9,26.1,3.11,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,5.0,46.06,0.4,2.8,11.34,3.0,2.0
278,7,Agashya,2023,33,F,1,54.0,27.1,16.5,2.4,3.19,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,6.0,53.87,0.83,2.67,10.08,3.0,3.0
279,7,Agashya,2010,10,F,1,49.1,34.0,23.7,0.0,3.33,1,8,2,0,3,2,1,1,4.46,1133.2,,4.0,51.67,0.5,2.0,3.35,3.0,1.0
279,7,Agashya,2011,11,F,2,52.2,28.5,22.3,0.0,3.25,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,6.0,51.72,0.33,1.17,13.78,1.0,5.0
279,7,Agashya,2012,12,F,2,29.3,26.5,11.1,33.1,3.38,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,3.0,28.83,0.33,1.33,8.3,2.0,1.0
279,7,Agashya,2013,13,F,1,54.4,32.8,11.1,1.7,2.9,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,5.0,51.32,0.0,2.4,4.94,1.0,4.0
279,7,Agashya,2014,14,F,2,59.2,32.1,16.3,0.0,3.51,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,3.0,60.57,0.33,2.0,9.53,2.0,1.0
279,7,Agashya,2015,15,F,2,45.0,43.3,11.2,0.5,3.23,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,,,,,,,
279,7,Agashya,2016,16,F,1,45.2,22.9,15.3,16.6,3.69,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,,,,,,,
279,7,Agashya,2017,17,F,1,39.4,31.2,11.3,18.1,4.63,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,5.0,34.18,0.2,2.0,6.14,1.0,4.0
279,7,Agashya,2018,18,F,1,48.5,14.6,12.9,24.0,2.91,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,,,,,,,
279,7,Agashya,2019,19,F,1,60.7,25.9,22.2,0.0,3.03,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,,,,,,,
279,7,Agashya,2020,20,F,1,44.4,24.1,12.1,19.4,2.74,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,,,,,,,
279,7,Agashya,2021,21,F,1,45.0,36.5,11.2,7.3,2.21,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,3.0,42.97,0.33,3.33,1.8,1.0,2.0
279,7,Agashya,2022,22,F,1,49.6,21.3,15.9,13.2,2.58,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,5.0,51.52,0.2,2.8,2.96,1.0,4.0
279,7,Agashya,2023,23,F,1,38.8,32.7,12.2,16.3,3.33,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,6.0,35.3,0.5,1.5,8.13,1.0,5.0
280,7,Agashya,2010,25,M,2,45.3,25.7,12.9,16.1,3.46,1,8,2,0,3,2,1,1,4.46,1133.2,,,,,,,,
280,7,Agashya,2011,26,M,1,54.8,37.2,15.3,0.0,3.81,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,5.0,52.96,0.6,1.6,16.52,3.0,2.0
280,7,Agashya,2012,27,M,2,45.2,35.7,12.5,6.6,2.97,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,3.0,41.33,1.33,1.67,4.57,1.0,2.0
280,7,Agashya,2013,28,M,1,65.3,20.9,14.1,0.0,2.83,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,5.0,63.18,2.0,0.8,4.24,2.0,3.0
280,7,Agashya,2014,29,M,2,50.6,24.5,15.6,9.3,2.63,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,,,,,,,
280,7,Agashya,2015,30,M,1,33.6,37.7,15.5,13.2,2.9,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,5.0,33.56,2.8,1.0,6.2,2.0,3.0
280,7,Agashya,2016,31,M,1,34.8,26.3,16.2,22.7,3.39,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,5.0,38.58,2.0,1.0,17.92,4.0,1.0
280,7,Agashya,2017,32,M,2,32.6,28.0,11.5,27.9,3.43,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,,,,,,,
280,7,Agashya,2018,33,M,1,37.3,29.1,11.4,22.2,2.24,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,3.0,39.7,1.0,1.67,8.17,2.0,1.0
280,7,Agashya,2019,34,M,1,36.2,32.9,6.1,24.8,4.09,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,,,,,,,
280,7,Agashya,2020,35,M,1,36.1,31.0,11.0,21.9,2.26,0,3,2,0,1,0,0,1,4.46,1029.6,1076.1,4.0,38.6,0.25,1.0,7.7,1.0,3.0
281,7,Agashya,2010,5,F,2,44.2,33.6,13.9,8.3,3.42,1,8,2,0,3,2,1,1,4.46,1133.2,,3.0,46.27,0.33,2.67,12.07,2.0,1.0
281,7,Agashya,2011,6,F,1,33.2,27.8,15.1,23.9,2.28,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,5.0,34.6,0.6,1.8,9.54,3.0,2.0
