age,age_class_ord,sex_binary,group_size,n_silverbacks,multi_male_group,prop_silverbacks,prop_adult_females,prop_infants,dependency_ratio,habitat_quality_score,dom_rank_norm,body_condition_score,forage_pct,rest_pct,social_pct,travel_pct,mean_foraging_pct,mean_agonistic,mean_affiliation,social_integration,foraging_efficiency,cohesion_idx,annual_rainfall_mm,lagged_rainfall_mm,rainfall_anomaly_z,lagged_rain_z,rainfall_seasonality_idx,survived_next_year,individual_id,year,group_name,age_class,sex
20,4,0,8,2,1,0.25,0.375,0.125,0.6,4.46,0.19999999996,3.29,49.9,29.5,13.7,6.9,47.77,0.0,3.0,3.0,1.64171,0.11025358324145534,1133.2,,0.22194499515881905,,3.0120268836222146,1,278,2010,Agashya,senior,F
21,4,0,8,2,1,0.25,0.375,0.125,0.6,4.46,0.0,2.89,40.6,35.0,7.5,16.9,46.4,0.5,1.67,1.1133333333333333,1.17334,0.13386880856760375,969.9,1133.2,-1.1424288901116644,0.2499914092946529,3.2231404958677685,1,278,2011,Agashya,senior,F
22,4,0,6,2,1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,4.46,0.0,2.95,47.2,37.6,15.1,0.1,43.48,0.83,1.5,0.819672131147541,1.3924,0.05509641873278237,1035.6,969.9,-0.5935044304529343,-1.144157652203622,2.9579992363497523,1,278,2012,Agashya,senior,F
23,4,0,7,2,1,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,4.46,0.49999999975,3.71,47.3,25.7,12.7,14.3,45.2,0.75,1.83,1.0879545454545454,1.7548299999999997,0.1191896806455279,1019.0,1035.6,-0.7321976729237848,-0.5832538350545925,2.74586852735953,1,278,2013,Agashya,senior,F
24,4,0,5,2,1,0.4,0.4,0.0,0.25,4.46,0.0,3.53,29.3,26.0,14.8,29.9,45.2,0.75,1.83,1.0879545454545454,1.03429,0.1191896806455279,1061.7,1019.0,-0.3754385492186429,-0.7249738253844836,2.7287719298245614,1,278,2014,Agashya,senior,F
25,4,0,6,2,1,0.3333333333333333,0.3333333333333333,0.0,0.5,4.46,0.0,2.85,46.1,30.3,18.1,5.5,45.22,1.0,2.17,1.085,1.3138500000000002,0.1582278481012658,1342.4,1061.7,1.9698140508758128,-0.36042903098168894,2.5539682539682538,1,278,2015,Agashya,senior,F
26,4,0,5,2,1,0.4,0.2,0.0,0.6666666666666666,4.46,0.0,4.1,48.5,35.4,11.5,4.6,45.38,0.6,2.0,1.25,1.9885,0.07507507507507508,1384.6,1342.4,2.3223956672776143,2.036004781403894,2.8998029833943146,1,278,2016,Agashya,senior,F
27,4,0,4,2,1,0.5,0.25,0.0,0.3333333333333333,4.46,0.0,4.3,58.5,28.7,17.1,0.0,59.35,0.75,3.75,2.142857142857143,2.5155,0.06397952655150352,1041.6,1384.6,-0.5433743428128676,2.39628090139916,3.163738019169329,1,278,2017,Agashya,senior,F
28,4,0,3,2,1,0.6666666666666666,0.3333333333333333,0.0,0.0,4.46,0.0,2.95,54.3,29.9,6.1,9.7,54.03,0.67,3.0,1.7964071856287427,1.60185,0.09551098376313276,1118.3,1041.6,0.09745527751931923,-0.5320297421642701,2.9411971830985912,1,278,2018,Agashya,senior,F
29,4,0,3,2,1,0.6666666666666666,0.3333333333333333,0.0,0.0,4.46,0.0,3.52,38.5,26.1,19.0,16.4,40.62,0.67,3.0,1.7964071856287427,1.3552000000000002,0.07363770250368189,1076.1,1118.3,-0.25512633888248387,0.12278491195035154,2.4982137057486202,1,278,2019,Agashya,senior,F
