individual_id,group_id,group_name,year,age,sex,dominance_rank,forage_pct,rest_pct,social_pct,travel_pct,body_condition_score,group_size,n_silverbacks,multi_male_group,habitat_quality,survived_next_year,annual_rainfall_mm,lagged_rainfall_mm
1,1,Susa,2010,3,M,7,44.0,22.9,11.3,21.8,3.98,16,1,0,2.23,1,1086.3,1086.3
2,1,Susa,2010,12,M,1,52.2,37.6,16.0,0.0,3.45,16,1,0,2.23,1,1086.3,1086.3
3,1,Susa,2010,20,M,1,42.4,30.3,9.1,18.2,3.12,16,1,0,2.23,1,1086.3,1086.3
4,1,Susa,2010,25,F,8,38.0,30.2,13.9,17.9,3.1,16,1,0,2.23,1,1086.3,1086.3
5,1,Susa,2010,20,M,1,37.0,28.3,22.2,12.5,3.46,16,1,0,2.23,1,1086.3,1086.3
6,1,Susa,2010,15,F,2,45.8,28.4,15.8,10.0,3.62,16,1,0,2.23,1,1086.3,1086.3
7,1,Susa,2010,15,F,7,59.5,32.1,16.6,0.0,3.59,16,1,0,2.23,1,1086.3,1086.3
8,1,Susa,2010,2,F,6,42.3,44.5,17.6,0.0,4.15,16,1,0,2.23,1,1086.3,1086.3
9,1,Susa,2010,20,M,1,44.2,39.0,21.7,0.0,2.94,16,1,0,2.23,1,1086.3,1086.3
10,1,Susa,2010,18,F,4,36.7,26.8,17.5,19.0,3.7,16,1,0,2.23,1,1086.3,1086.3
11,1,Susa,2010,2,F,2,49.0,18.0,11.6,21.4,3.19,16,1,0,2.23,1,1086.3,1086.3
12,1,Susa,2010,12,M,1,41.7,21.5,16.9,19.9,2.95,16,1,0,2.23,1,1086.3,1086.3
13,1,Susa,2010,3,F,5,52.5,35.2,7.5,4.8,2.76,16,1,0,2.23,1,1086.3,1086.3
14,1,Susa,2010,1,F,4,69.8,32.1,25.4,0.0,3.51,16,1,0,2.23,1,1086.3,1086.3
15,1,Susa,2010,4,F,2,53.6,29.8,14.3,2.3,3.66,16,1,0,2.23,1,1086.3,1086.3
16,1,Susa,2010,5,F,3,37.9,21.8,12.3,28.0,2.0,16,1,0,2.23,1,1086.3,1086.3
1,1,Susa,2011,4,M,4,47.6,28.3,8.4,15.7,3.17,16,1,0,2.23,1,1109.2,1086.3
2,1,Susa,2011,13,M,1,51.2,12.9,19.6,16.3,2.34,16,1,0,2.23,1,1109.2,1086.3
3,1,Susa,2011,21,M,1,48.0,29.5,18.2,4.3,2.57,16,1,0,2.23,1,1109.2,1086.3
4,1,Susa,2011,26,F,8,32.1,39.3,11.9,16.7,2.73,16,1,0,2.23,1,1109.2,1086.3
5,1,Susa,2011,21,M,1,29.7,26.1,22.8,21.4,2.81,16,1,0,2.23,1,1109.2,1086.3
6,1,Susa,2011,16,F,5,50.2,21.6,11.6,16.6,3.46,16,1,0,2.23,1,1109.2,1086.3
7,1,Susa,2011,16,F,1,31.9,37.2,21.0,9.9,3.2,16,1,0,2.23,1,1109.2,1086.3
8,1,Susa,2011,3,F,8,53.2,31.4,14.0,1.4,3.12,16,1,0,2.23,1,1109.2,1086.3
