obs_id,individual_id,group_id,obs_date,year,month,season,session_duration_min,foraging_rate_pct,agonistic_events,affiliation_events,nearest_neighbour_dist_m,observer_id
1,18,1,2011-09-05,2011,9,wet,68,62.4,0,3,5.4,OBS_04
2,18,1,2011-05-20,2011,5,wet,34,59.7,0,2,2.9,OBS_04
3,18,1,2011-11-23,2011,11,wet,67,50.0,2,1,11.4,OBS_06
4,430,11,2014-08-13,2014,8,dry,41,47.5,0,3,8.2,OBS_02
5,430,11,2014-05-17,2014,5,wet,92,68.1,2,1,6.4,OBS_04
6,430,11,2014-03-14,2014,3,wet,66,48.7,1,2,4.4,OBS_03
7,188,5,2018-12-09,2018,12,dry,62,42.5,1,2,2.7,OBS_04
8,188,5,2018-09-05,2018,9,wet,51,52.0,0,1,2.4,OBS_01
9,188,5,2018-06-16,2018,6,dry,61,35.8,1,0,5.6,OBS_01
10,188,5,2018-04-01,2018,4,wet,60,48.1,0,1,9.7,OBS_06
11,188,5,2018-02-08,2018,2,dry,62,37.0,0,0,12.7,OBS_03
12,188,5,2018-01-25,2018,1,dry,55,32.9,0,4,2.0,OBS_06
13,317,9,2013-10-27,2013,10,wet,38,62.9,1,4,8.8,OBS_01
14,317,9,2013-04-18,2013,4,wet,58,64.2,0,4,14.6,OBS_02
15,317,9,2013-06-02,2013,6,dry,66,48.5,2,3,22.3,OBS_05
16,317,9,2013-10-06,2013,10,wet,84,60.6,0,1,0.4,OBS_06
17,317,9,2013-04-17,2013,4,wet,63,55.3,1,4,5.3,OBS_06
18,317,9,2013-01-21,2013,1,dry,56,41.1,1,2,20.4,OBS_01
19,65,2,2011-12-08,2011,12,dry,50,38.6,1,1,20.3,OBS_05
20,65,2,2011-10-09,2011,10,wet,44,50.7,0,6,9.9,OBS_04
21,65,2,2011-02-09,2011,2,dry,47,43.4,0,4,2.0,OBS_01
22,65,2,2011-11-26,2011,11,wet,55,51.1,0,5,11.2,OBS_06
23,65,2,2011-11-01,2011,11,wet,56,54.8,1,4,2.4,OBS_03
24,154,5,2016-04-01,2016,4,wet,50,48.3,0,1,2.2,OBS_04
25,154,5,2016-07-12,2016,7,dry,37,34.7,0,3,0.1,OBS_07
26,154,5,2016-06-13,2016,6,dry,42,47.0,0,2,4.1,OBS_06
27,154,5,2016-07-31,2016,7,dry,46,38.4,0,5,0.6,OBS_07
28,154,5,2016-08-07,2016,8,dry,54,38.7,0,2,1.0,OBS_03
29,122,4,2011-04-26,2011,4,wet,74,39.5,2,0,3.1,OBS_05
30,122,4,2011-08-03,2011,8,dry,51,32.6,2,2,0.7,OBS_06
31,122,4,2011-08-29,2011,8,dry,49,29.7,1,2,16.5,OBS_07
32,122,4,2011-10-16,2011,10,wet,56,43.0,2,3,39.0,OBS_05
33,489,12,2019-11-09,2019,11,wet,56,46.3,1,0,7.3,OBS_06
34,489,12,2019-03-16,2019,3,wet,61,42.2,2,1,1.4,OBS_06
35,489,12,2019-08-03,2019,8,dry,48,33.2,3,1,6.8,OBS_07
36,477,12,2022-07-23,2022,7,dry,52,50.4,1,0,7.4,OBS_06
37,477,12,2022-05-26,2022,5,wet,49,61.3,0,2,3.9,OBS_03
38,477,12,2022-05-22,2022,5,wet,68,66.6,1,0,3.8,OBS_06
39,477,12,2022-11-14,2022,11,wet,53,63.1,3,1,1.7,OBS_06
40,186,5,2022-05-02,2022,5,wet,55,43.6,1,0,0.1,OBS_05
41,186,5,2022-10-17,2022,10,wet,53,43.4,1,0,4.4,OBS_06
42,186,5,2022-01-31,2022,1,dry,36,27.6,0,1,7.9,OBS_03
43,186,5,2022-11-24,2022,11,wet,51,48.9,1,2,5.0,OBS_02
44,186,5,2022-02-01,2022,2,dry,52,41.4,0,0,2.5,OBS_04
45,460,12,2019-03-21,2019,3,wet,62,56.3,2,2,6.3,OBS_05
46,460,12,2019-12-04,2019,12,dry,45,46.0,1,3,13.7,OBS_07
47,460,12,2019-04-13,2019,4,wet,46,49.1,2,1,11.7,OBS_03
